a,b,c
9,52,75
52,39,98
40,85,56
53,86,70
16,6,27
18,67,27
10,55,2
65,75,1
93,26,71
99,73,81
91,45,42
42,44,60
41,33,75
59,43,53
73,65,76
58,55,82
80,16,15
83,2,61
76,95,96
99,36,20
52,63,33
26,59,33
69,52,87
93,46,60
71,90,20
44,45,98
61,50,84
15,95,61
92,65,2
41,48,14
70,89,50
65,69,93
51,64,36
18,5,78
45,27,77
44,84,66
61,92,24
40,46,23
11,11,12
74,29,16
5,33,91
54,44,96
77,91,79
18,27,74
96,83,85
67,6,97
79,8,37
30,53,69
75,22,15
25,51,72
8,52,18
82,62,15
6,7,10
65,7,36
67,29,48
49,91,4
93,89,38
72,52,79
9,72,12
25,26,24
96,4,81
47,54,38
51,25,19
69,5,57
11,38,33
82,41,86
71,62,77
14,54,3
96,79,53
86,45,44
47,12,65
77,23,42
88,86,92
36,37,41
75,52,97
48,61,70
62,77,13
77,21,69
88,18,65
36,58,84
62,89,93
16,40,58
59,58,38
33,95,66
49,6,12
91,74,27
27,91,9
33,67,30
86,31,14
21,3,77
83,15,49
26,94,94
3,48,86
64,32,43
88,99,35
26,47,61
92,65,26
19,20,86
92,59,21
9,51,28
86,48,65
85,50,14
32,96,5
68,47,9
35,5,79
40,56,86
94,13,94
95,55,92
2,5,25
90,89,28
8,79,98
44,21,48
87,87,65
53,21,64
4,51,78
0,42,41
3,4,54
10,24,84
37,30,34
81,12,23
93,99,3
51,20,50
62,36,68
58,26,37
75,3,57
47,4,34
15,46,42
69,22,84
52,84,37
28,64,86
77,31,28
52,13,94
14,13,30
20,94,79
81,87,5
51,6,74
96,5,5
31,95,49
93,40,66
90,77,6
45,44,17
69,97,47
18,75,18
69,95,33
16,63,11
61,73,39
50,42,93
77,76,72
20,43,76
2,77,89
55,88,59
52,95,30
16,24,84
51,0,33
54,91,12
77,78,11
77,99,53
66,50,86
32,52,65
46,57,42
16,2,26
42,2,95
69,53,12
31,38,15
72,98,3
4,27,93
70,12,30
20,93,38
5,76,57
55,37,83
79,90,82
44,37,81
2,52,70
58,43,19
18,11,13
82,3,66
40,27,34
45,71,3
79,61,93
9,18,81
64,52,55
83,54,69
31,54,37
35,6,84
70,81,97
89,82,36
70,53,94
56,53,67
9,14,83
62,51,22
34,6,27
53,13,5
4,32,17
91,88,20
8,59,39
27,19,36
45,64,91
39,51,16
14,39,14
7,1,62
82,49,42
12,46,62
27,77,54
97,31,98
56,76,59
6,22,15
68,2,75
24,61,19
40,57,4
94,71,67
56,78,12
32,88,22
38,81,84
14,42,38
41,8,0
81,77,99
92,85,22
73,49,28
1,28,24
65,11,85
59,48,56
63,91,78
27,86,15
99,23,6
2,63,67
53,98,96
67,4,19
11,72,69
68,26,87
48,84,43
11,97,33
86,19,22
77,32,44
39,84,92
93,30,14
56,68,66
71,69,38
53,78,75
48,28,52
30,52,77
56,80,70
99,63,22
96,28,82
89,49,62
97,38,88
71,43,97
11,4,29
70,91,54
47,10,25
17,48,38
70,77,52
24,45,1
17,3,14
26,9,45
95,78,91
19,16,12
9,11,1
46,51,68
51,62,5
75,67,85
62,53,11
35,40,97
82,63,39
67,90,88
11,95,79
68,78,19
20,90,71
11,1,50
87,8,54
61,28,36
8,1,84
90,55,49
19,81,32
79,18,35
15,63,25
91,24,73
67,36,35
72,57,83
26,94,18
74,14,7
10,51,81
74,11,57
26,58,32
63,63,7
72,6,85
87,56,93
96,32,94
93,21,33
48,76,17
55,2,76
95,18,53
11,93,27
28,93,13
79,66,90
93,28,23
60,80,87
22,43,12
33,90,80
31,61,65
31,76,50
60,74,43
44,11,44
34,48,48
13,25,12
95,65,26
20,30,25
22,68,65
26,57,48
52,49,51
0,36,14
39,12,94
4,69,12
57,18,99
7,65,8
80,1,78
14,30,34
92,33,8
79,28,11
13,69,0
89,24,37
25,42,61
11,14,85
7,10,68
4,0,63
81,85,20
25,69,80
87,57,39
20,23,53
38,7,77
22,76,31
18,74,88
30,81,69
15,17,52
76,17,94
47,24,77
26,52,49
52,73,79
64,5,84
2,26,42
57,99,56
4,75,62
96,23,27
61,34,62
14,30,94
54,92,71
21,78,49
80,90,81
4,0,19
7,41,19
82,61,7
22,30,99
0,95,29
85,52,67
38,92,43
28,48,28
7,11,84
25,66,98
0,61,84
15,67,48
23,77,32
56,57,27
53,50,58
31,44,90
59,45,1
19,90,50
5,86,73
4,45,68
64,58,99
55,83,37
93,2,25
62,66,62
28,27,81
67,43,86
24,60,25
7,38,6
18,16,29
79,70,48
59,3,62
85,62,97
20,48,37
95,50,9
61,29,80
46,7,42
78,21,91
16,51,77
55,8,25
85,89,94
47,94,71
41,55,86
61,68,38
0,89,22
87,18,40
97,29,58
14,72,23
45,93,55
70,85,51
12,32,95
41,40,98
53,63,57
0,23,86
53,76,34
48,35,7
18,12,28
35,54,37
90,17,69
62,60,28
73,0,99
78,15,27
13,44,40
39,84,50
59,88,95
4,5,19
75,7,59
98,71,25
14,4,12
32,5,9
28,6,92
41,35,72
59,95,89
8,33,38
32,20,15
66,68,63
34,43,7
94,89,12
67,45,56
90,46,51
66,97,94
56,37,56
43,74,73
51,97,24
96,91,89
25,70,47
96,6,31
13,46,85
30,41,65
96,41,93
59,79,28
87,86,49
33,15,74
70,57,76
60,8,66
91,30,95
22,4,51
94,91,40
72,52,37
57,91,79
43,51,36
96,1,68
93,58,37
67,75,26
91,91,42
30,27,20
56,50,12
22,14,57
44,47,63
13,7,45
23,20,7
86,60,85
7,84,14
95,82,91
37,3,31
58,69,99
12,64,0
64,56,9
62,90,0
12,31,25
51,65,73
29,62,26
97,74,93
21,0,71
24,0,7
37,14,65
79,88,38
8,9,23
55,27,80
56,75,4
61,84,39
84,74,59
4,86,47
12,47,75
24,57,47
6,92,13
17,39,73
57,62,38
24,3,51
11,80,34
99,18,33
72,96,78
29,84,57
57,57,13
97,78,74
83,18,93
36,84,22
91,74,29
57,57,23
46,9,90
72,67,9
1,71,61
17,43,25
11,87,23
36,15,32
26,45,76
22,75,94
2,52,39
47,48,82
48,39,49
40,25,82
90,75,53
22,55,98
15,4,14
81,15,68
40,13,64
44,35,54
70,15,61
27,60,89
61,69,58
4,39,71
56,7,56
35,14,7
57,46,3
89,71,80
82,14,87
2,62,7
75,55,8
59,30,21
22,59,63
49,45,64
61,41,29
93,9,56
38,76,78
98,19,4
10,82,50
31,35,78
73,46,97
39,17,76
8,7,93
35,64,92
6,24,3
57,24,11
90,26,56
63,78,87
89,99,75
10,88,73
69,81,68
32,8,69
9,59,62
88,93,59
57,60,28
34,86,9
68,89,6
81,69,82
46,91,12
53,93,93
77,51,5
5,56,45
47,11,85
99,36,19
4,57,16
15,82,26
52,31,81
17,75,19
93,17,5
28,24,62
70,64,45
80,39,18
60,48,57
43,33,90
55,10,53
92,73,85
27,13,79
56,73,80
64,99,33
35,55,77
57,1,18
72,20,89
34,27,71
42,54,10
94,88,33
88,18,48
14,35,90
2,35,80
36,53,71
6,19,19
28,48,85
97,34,35
72,18,63
6,41,23
76,38,33
28,58,66
78,59,92
91,66,52
90,4,98
34,55,30
70,17,33
37,1,14
21,47,59
60,44,33
54,19,93
37,65,43
8,7,3
90,61,85
44,63,63
62,82,24
99,75,44
33,43,30
39,30,39
50,13,13
26,74,8
73,90,99
20,37,33
65,11,82
59,3,1
14,67,39
25,85,90
9,49,13
70,54,83
96,89,33
58,3,33
34,98,75
31,38,72
0,72,30
67,66,59
0,71,13
40,61,99
13,89,69
28,65,75
47,5,76
70,41,23
85,61,87
74,74,39
68,49,10
28,66,24
40,69,13
92,87,29
94,1,99
93,42,60
58,0,25
61,82,95
33,40,29
3,36,10
15,7,96
44,16,23
34,96,38
1,47,77
23,64,0
32,49,80
35,46,53
70,2,6
46,48,37
6,46,9
40,19,26
29,85,17
31,71,54
58,22,71
95,54,93
61,52,9
33,45,34
80,5,27
25,6,15
36,97,44
90,43,25
40,41,29
5,97,42
5,32,15
95,56,27
77,13,54
9,59,2
93,31,60
29,18,70
7,57,28
29,61,49
59,89,19
95,28,35
58,2,13
42,86,29
98,63,67
45,88,52
42,43,86
25,78,81
93,88,19
20,51,70
65,11,78
83,80,70
7,6,41
91,97,28
11,73,74
87,45,85
78,56,97
99,25,34
76,45,60
86,54,88
97,45,74
55,33,83
94,93,94
63,26,63
47,49,41
85,7,50
8,81,94
14,51,20
54,29,41
76,35,55
56,78,84
74,71,57
39,49,18
34,18,80
5,33,9
15,25,25
11,53,74
99,24,49
80,12,64
93,32,3
63,49,45
69,91,13
62,94,30
2,64,62
10,41,99
1,15,49
50,99,95
35,51,38
21,0,12
92,85,81
9,69,8
98,54,4
99,58,31
35,32,20
98,70,50
74,65,9
53,75,55
53,1,28
35,72,61
79,56,37
81,90,44
74,19,43
81,65,74
13,18,23
26,44,94
6,45,3
99,89,55
46,68,52
65,38,27
21,31,99
71,19,5
11,96,57
43,54,63
51,3,7
69,2,19
96,75,76
94,91,61
38,20,39
85,46,96
93,57,89
43,23,17
68,32,8
12,27,50
76,3,68
33,64,74
53,99,55
29,10,98
95,4,69
8,8,85
10,25,61
3,6,76
19,4,4
77,41,66
69,24,73
50,21,65
11,10,91
56,69,26
91,37,97
84,37,27
98,54,76
64,40,73
69,91,18
72,14,54
50,60,27
16,94,91
15,62,70
26,56,1
59,72,55
74,36,31
34,24,36
94,47,25
80,55,85
29,70,65
77,17,45
99,6,18
63,97,65
31,8,89
57,35,73
33,94,64
64,99,82
44,33,45
22,96,61
71,97,7
54,98,71
20,47,87
79,54,5
47,14,1
16,59,96
36,35,1
23,88,21
88,11,84
87,18,60
81,46,6
36,41,85
54,20,80
39,35,83
72,28,99
46,41,31
45,44,89
41,59,0
1,75,32
24,36,96
45,97,45
96,1,64
84,25,62
99,92,61
15,66,75
34,80,4
73,20,59
88,95,53
13,59,72
91,50,13
80,89,93
92,95,92
56,82,14
55,79,85
66,5,46
9,3,80
3,9,66
19,29,20
44,47,99
22,69,37
53,6,33
87,57,63
95,21,3
87,52,72
86,45,21
38,89,41
92,10,93
72,57,69
65,53,45
7,8,43
1,12,99
9,42,33
9,36,99
17,29,4
49,96,19
74,1,46
1,88,85
72,81,74
13,32,45
38,58,90
85,14,96
48,43,65
43,48,90
63,5,35
95,19,15
66,97,22
9,75,85
22,39,27
61,40,99
10,18,25
53,14,98
89,99,49
77,4,5
10,89,67
84,25,91
82,28,42
64,40,64
93,91,13
83,5,40
61,98,36
65,54,81
99,58,79
23,87,29
21,86,40
84,98,10
95,47,23
71,94,44
40,64,72
46,10,60
6,88,81
59,41,49
62,70,83
38,91,46
56,62,47
30,81,71
3,62,49
62,57,20
14,66,36
78,34,85
74,27,16
51,23,51
61,77,97
34,48,56
4,2,84
82,94,29
62,59,5
41,72,4
29,24,91
19,15,51
16,4,46
4,10,7
91,15,74
31,70,92
38,73,43
55,54,82
80,79,60
52,51,3
32,96,34
57,32,12
80,1,85
50,44,76
90,1,54
47,16,7
52,3,99
96,77,8
60,62,81
93,88,7
24,92,72
31,46,1
0,48,78
75,0,90
30,74,43
49,19,13
87,81,68
22,85,22
97,86,88
80,1,99
95,12,74
57,69,93
13,23,3
41,0,7
47,68,32
61,70,53
3,58,92
8,29,87
42,51,20
79,18,80
23,28,29
92,67,8
32,34,5
39,88,18
98,95,0
27,46,78
9,80,8
23,4,54
38,3,0
78,52,79
72,34,99
28,8,18
66,37,75
94,85,56
37,86,22
1,37,13
16,42,94
42,67,86
1,20,0
32,16,75
3,39,45
87,59,69
83,57,33
65,18,71
64,30,34
7,20,24
62,31,56
10,95,40
13,99,18
67,88,38
49,49,2
84,31,95
53,62,28
16,90,80
66,83,98
92,69,22
30,43,90
85,84,77
3,76,38
74,96,74
22,89,47
78,0,78
81,67,47
63,54,84
36,69,92
69,7,7
38,83,65
87,25,35
86,91,36
28,17,61
47,99,31
99,94,20
42,34,5
59,75,87
34,85,18
41,97,42
98,20,68
83,27,63
24,40,19
93,18,1
29,10,68
97,42,98
70,42,61
19,70,10
30,1,28
66,33,0
30,34,23
39,17,17
26,23,44
77,80,69
82,51,62
57,61,59
51,24,27
38,71,86
73,37,14
47,17,75
92,57,36
12,3,3
11,29,2
63,32,92
44,5,73
95,17,96
7,27,20
70,82,91
66,87,66
81,12,67
32,22,46
80,13,16
92,55,42
25,18,22
50,37,3
20,7,13
82,48,8
16,71,62
83,41,40
77,33,88
50,47,31
68,25,7
82,42,55
82,7,83
96,64,13
57,67,63
53,84,91
82,73,70
72,85,95
71,41,33
95,57,78
7,52,88
49,5,27
63,93,3
89,0,39
42,90,61
55,91,92
41,36,91
79,56,54
90,83,78
92,38,1
92,81,76
80,71,44
40,96,30
18,23,7
48,55,16
49,32,71
61,27,28
25,22,1
56,28,61
92,43,11
96,86,19
23,19,93
50,79,25
21,22,15
54,23,42
63,32,42
14,53,57
29,94,50
93,46,49
25,2,55
0,53,97
14,86,18
31,53,39
96,5,86
6,13,3
2,4,82
62,22,93
45,3,8
91,17,76
77,26,99
58,88,39
35,24,45
68,13,81
10,16,64
33,49,38
63,93,72
34,58,7
45,5,68
58,62,55
82,19,21
30,45,50
70,51,6
20,9,17
79,20,83
33,76,62
55,38,89
56,16,91
31,88,38
75,26,55
9,86,45
25,67,98
42,43,53
91,7,21
42,81,39
87,9,96
51,29,57
48,47,25
44,53,98
13,27,4
25,7,17
99,29,79
17,6,76
34,50,34
20,7,25
95,74,50
34,43,96
81,42,22
1,86,79
8,13,52
62,77,69
67,4,42
43,67,58
6,6,9
9,84,22
41,35,78
58,56,10
85,26,39
1,55,75
76,28,32
30,48,50
50,57,49
54,17,31
47,76,73
63,72,64
35,84,22
83,71,34
21,0,54
44,28,82
67,13,78
57,18,30
88,73,69
27,17,71
5,0,87
91,40,53
32,85,46
49,82,13
95,69,72
86,97,3
2,34,33
2,48,72
57,94,26
10,97,86
68,91,50
39,92,23
9,74,75
24,59,60
60,95,27
23,85,94
43,64,17
33,78,78
9,25,21
46,70,51
86,54,67
37,30,14
27,1,17
8,67,52
69,72,41
5,44,14
98,29,44
78,87,83
69,47,5
29,55,33
21,23,0
60,37,14
30,36,82
7,36,94
87,77,5
20,7,71
73,74,82
36,33,79
37,99,60
82,87,86
97,35,26
32,73,95
3,29,45
58,93,11
7,16,86
3,72,78
80,20,91
61,75,96
99,18,85
56,21,59
42,40,11
84,28,5
54,51,86
94,49,45
24,96,75
95,3,4
87,59,28
4,49,65
45,49,80
21,78,71
36,0,54
81,79,98
65,64,2
8,36,63
8,35,10
78,10,5
73,83,84
93,74,57
27,7,27
59,4,51
10,62,30
58,99,46
16,9,70
27,59,38
64,46,59
0,87,48
73,95,24
3,67,48
93,83,76
84,33,65
40,72,85
19,36,9
41,85,98
42,19,52
48,68,97
49,28,34
90,90,76
51,10,39
83,86,77
95,95,12
79,41,25
2,52,29
94,82,41
84,68,1
7,78,9
19,14,12
59,9,58
19,92,57
32,43,70
90,25,54
75,56,32
40,56,35
67,8,70
23,65,81
17,90,11
24,9,24
24,94,1
74,54,20
31,73,6
92,54,59
53,21,32
2,49,43
22,38,9
47,70,64
83,61,27
80,86,89
44,14,40
1,55,53
47,32,7
85,25,14
54,47,97
90,32,22
0,89,67
31,8,90
63,25,72
6,33,93
33,42,34
71,30,56
53,55,1
36,37,95
38,55,44
23,56,96
55,87,46
6,38,25
36,57,47
81,4,89
59,12,75
5,28,43
11,19,21
59,90,28
39,20,5
85,28,65
64,76,67
25,5,51
84,10,24
16,50,99
34,2,1
15,3,53
51,46,52
45,39,73
30,34,51
5,52,48
56,0,63
56,26,41
75,99,29
61,25,5
71,12,84
82,89,83
92,30,8
93,99,92
77,72,62
81,73,69
64,37,80
98,6,17
58,84,44
82,75,75
80,55,16
47,49,91
20,41,98
77,49,65
27,24,91
76,29,59
44,7,96
95,27,1
89,9,97
14,7,96
78,66,8
45,24,11
21,48,52
1,88,61
12,12,37
18,98,98
73,83,5
86,15,50
65,98,54
26,10,92
0,76,76
42,31,85
70,45,95
73,56,96
48,83,58
59,50,24
62,12,43
89,33,72
67,35,73
70,17,29
7,37,31
55,34,40
28,4,33
47,47,70
42,76,86
33,28,28
32,94,62
0,6,9
9,51,87
25,25,53
17,2,12
11,43,36
93,78,7
31,27,93
75,10,45
74,85,38
31,2,81
15,70,40
98,85,80
3,81,37
2,16,55
79,96,95
11,16,75
43,1,58
42,3,56
96,98,33
10,93,29
24,18,23
32,95,75
86,63,97
65,27,38
27,90,23
98,79,82
72,64,19
69,47,30
77,9,11
60,60,91
39,24,6
5,84,8
50,6,45
89,84,68
37,13,18
56,64,26
72,84,26
89,79,74
86,1,99
5,84,97
3,82,14
74,36,66
52,31,78
89,41,95
55,15,1
96,50,70
43,68,60
48,0,25
82,94,5
38,94,79
70,72,99
68,72,64
54,43,82
44,56,97
19,40,50
88,17,72
49,76,16
88,46,78
61,85,50
0,29,11
49,39,17
26,30,76
23,48,98
32,93,69
38,91,8
5,16,40
15,91,62
96,81,65
46,85,72
37,14,50
58,98,73
33,31,61
70,50,55
35,82,47
41,27,9
69,54,21
80,79,74
91,63,62
7,3,84
78,66,31
98,96,96
86,37,44
18,10,20
72,10,89
15,50,90
21,59,21
36,91,29
16,24,64
55,37,75
24,33,22
99,24,62
38,26,54
44,63,52
52,93,36
13,44,80
94,25,15
45,79,15
8,68,48
10,56,3
2,96,96
5,23,56
78,74,46
82,26,98
61,77,32
5,4,3
81,53,62
25,91,69
0,49,70
87,67,51
27,69,72
42,42,50
0,35,19
92,58,26
18,21,33
67,65,47
7,71,84
25,8,44
46,81,51
61,55,88
63,83,78
81,70,27
42,48,34
25,30,45
2,50,81
60,48,47
23,52,15
30,68,65
57,0,74
58,94,92
45,85,42
36,28,75
82,74,36
65,45,28
85,10,5
66,16,44
15,43,1
1,7,66
80,25,92
15,43,29
13,19,18
1,98,78
86,5,2
5,63,44
71,5,84
55,12,91
14,58,2
4,19,85
37,60,88
23,35,46
33,8,41
7,56,65
98,2,82
34,67,92
54,14,96
16,26,30
89,4,51
81,92,11
65,85,36
64,14,20
29,73,55
21,99,28
55,10,18
1,20,16
8,92,14
15,19,17
76,36,97
63,59,70
55,91,55
35,84,71
87,76,56
69,42,55
99,16,19
45,67,51
32,74,40
46,85,48
89,94,41
85,37,93
2,23,66
28,42,16
87,51,12
43,78,51
24,23,76
27,88,47
76,88,21
79,79,77
23,82,34
66,36,55
21,90,31
95,77,71
79,27,10
71,86,88
46,47,25
33,93,22
74,8,86
34,40,26
0,16,22
62,58,79
62,4,35
82,70,62
50,59,62
8,23,92
11,74,73
8,71,20
83,42,21
25,9,61
22,13,16
2,85,91
60,51,50
62,36,65
10,95,29
89,66,26
93,41,23
2,5,14
42,81,70
78,23,12
93,41,7
17,14,28
10,90,15
24,36,39
48,9,0
42,11,66
54,73,38
22,23,9
84,24,51
25,36,73
79,84,49
45,81,5
45,23,15
86,6,11
87,64,48
10,6,14
7,96,57
83,96,8
29,93,11
44,68,39
90,22,67
81,92,11
39,26,69
74,24,71
21,84,22
64,14,4
83,22,5
42,49,10
57,65,36
35,45,39
49,26,57
11,70,28
91,66,33
88,26,34
27,15,16
65,13,8
94,39,5
92,38,17
4,57,81
90,54,51
99,34,42
12,92,89
46,84,45
35,18,78
34,34,52
11,87,61
60,34,80
82,34,49
28,29,83
48,88,65
23,68,44
93,49,29
70,2,43
77,23,5
76,95,73
96,87,88
4,32,58
32,35,64
96,46,68
25,31,82
94,71,83
57,56,16
43,67,23
95,47,88
91,9,28
92,97,56
35,95,24
36,67,11
65,72,34
68,0,9
11,97,81
97,87,62
92,55,54
53,56,29
90,83,24
92,60,9
71,10,92
76,18,9
16,46,0
61,0,5
26,0,70
40,25,90
13,45,35
76,27,40
65,75,94
61,53,55
15,16,96
33,78,13
64,60,83
13,14,7
7,97,57
45,48,68
13,32,71
60,23,1
91,69,85
2,60,87
45,77,12
4,70,97
46,16,21
75,79,5
42,85,62
39,2,55
77,78,83
13,83,84
11,22,67
23,51,26
86,73,91
2,83,97
70,50,60
82,27,42
41,95,63
29,28,24
24,45,97
90,88,62
74,11,51
21,60,76
37,12,28
77,25,11
43,86,44
33,30,21
6,72,5
3,49,32
36,94,52
80,36,18
67,17,0
40,32,43
10,87,19
8,66,71
18,75,41
34,0,1
80,32,99
94,59,84
63,66,37
78,48,14
42,48,7
84,17,2
58,10,96
14,8,36
82,56,68
47,85,4
29,88,68
16,63,60
68,48,70
57,83,2
26,35,33
52,51,18
83,84,47
2,61,71
23,61,45
88,40,61
35,60,45
69,95,54
6,47,69
32,66,24
73,47,15
70,49,84
84,29,24
33,45,94
69,66,94
96,93,88
65,82,67
10,2,74
91,6,56
39,59,13
18,30,84
44,36,4
28,74,70
70,82,64
87,39,85
78,72,35
59,12,35
54,45,43
17,75,4
38,3,39
48,36,1
78,9,81
90,58,46
36,97,69
85,14,8
42,32,36
22,57,72
11,78,90
76,23,4
45,20,65
23,20,74
31,68,4
6,3,76
63,93,61
96,64,7
36,96,64
57,62,75
56,60,94
0,65,9
16,63,69
58,2,73
9,68,40
78,19,65
3,45,72
36,97,47
21,98,46
73,28,86
84,27,0
84,80,40
83,98,19
3,79,73
9,19,51
46,83,71
62,73,40
23,4,63
0,41,12
98,39,89
96,19,72
21,27,73
55,14,69
21,4,42
46,89,27
56,59,76
90,89,56
16,67,76
53,27,37
1,89,1
44,16,58
50,8,25
23,42,68
46,54,87
48,92,9
81,80,71
66,62,47
19,77,7
99,81,16
67,30,72
81,31,80
43,56,92
30,84,36
33,19,65
51,29,78
26,2,14
94,43,46
71,24,72
96,99,56
55,89,76
33,8,70
80,27,36
25,66,3
54,25,33
16,39,27
71,69,45
53,77,25
90,1,79
20,91,20
87,19,32
14,46,71
76,46,8
68,58,69
69,35,40
8,19,79
58,98,30
45,39,88
48,15,59
75,33,44
69,94,54
93,28,57
58,98,71
78,81,32
50,62,36
66,59,99
17,71,50
90,73,7
2,2,41
66,75,89
4,55,16
98,0,53
31,72,16
58,95,79
9,67,12
67,22,89
59,67,41
93,77,96
97,35,22
73,43,38
80,86,2
14,60,97
4,99,55
50,61,2
66,47,94
28,91,45
65,15,1
30,97,12
14,83,63
59,87,66
87,80,14
15,85,6
11,7,13
94,93,14
33,70,46
44,19,64
97,16,25
10,24,10
87,20,33
36,13,62
99,33,23
78,39,5
42,98,86
98,47,33
52,63,33
50,69,79
16,92,17
15,84,32
66,38,62
65,89,30
13,6,7
67,62,50
74,30,43
40,86,54
63,60,34
44,82,90
65,7,41
95,33,91
17,42,7
35,49,38
84,70,98
53,78,50
35,6,11
18,3,48
20,60,27
25,49,60
45,78,94
60,42,73
84,24,94
37,0,88
35,51,28
31,31,31
64,36,28
32,64,56
61,38,7
27,84,15
10,99,69
28,43,19
8,87,14
26,87,87
13,86,96
46,52,4
78,46,23
10,53,87
34,81,64
27,94,59
28,0,81
70,15,47
38,21,38
4,71,68
75,94,19
9,9,7
87,72,25
89,94,8
93,40,95
46,78,89
6,43,82
74,72,64
91,8,12
7,35,60
0,3,92
98,59,78
96,73,65
16,23,76
36,5,81
17,64,23
82,45,33
60,88,3
38,59,49
43,47,52
94,82,88
27,38,74
85,2,58
6,16,71
43,33,40
42,56,22
92,74,5
60,0,53
41,24,50
18,36,39
95,0,20
22,65,96
9,78,81
61,43,32
8,86,78
72,41,59
47,89,43
80,53,36
87,13,79
78,86,7
50,13,42
43,69,15
77,37,71
69,29,85
61,64,77
59,48,5
97,70,37
65,86,37
5,90,8
85,53,78
74,76,2
49,93,40
32,81,32
86,99,96
2,90,68
56,29,85
40,42,67
84,26,13
89,85,79
91,9,89
36,48,97
18,77,8
76,73,81
29,84,58
56,27,83
35,50,18
16,43,9
74,72,79
79,87,38
28,16,24
91,80,27
12,33,98
11,68,75
39,36,66
6,88,85
58,7,77
90,78,60
88,45,78
72,16,90
96,32,90
62,93,87
25,78,1
31,11,23
37,58,79
3,89,38
65,42,11
79,85,23
61,53,61
93,36,47
87,27,47
88,60,69
76,37,71
87,86,25
56,75,39
15,68,34
21,23,29
0,26,58
32,76,79
78,2,70
62,60,95
28,56,97
53,73,74
62,8,45
6,51,83
64,87,31
43,3,51
57,41,27
97,28,42
17,39,95
8,51,31
89,75,31
46,15,12
32,3,46
3,68,56
73,61,84
33,64,40
92,30,51
60,73,44
63,45,79
92,86,20
80,65,26
26,98,24
75,79,20
41,63,46
11,69,3
83,73,38
26,69,74
82,95,94
63,30,54
60,38,84
44,3,78
95,61,71
73,89,95
15,86,79
40,34,4
82,20,88
14,42,42
69,89,67
13,84,22
75,80,10
5,62,87
51,77,57
57,31,38
61,20,52
23,13,65
61,25,1
11,56,47
65,44,67
11,12,8
62,28,34
86,43,26
83,32,81
60,29,70
65,50,27
45,4,84
78,14,32
58,89,59
46,7,88
68,10,41
19,15,89
66,57,85
73,35,44
78,42,42
84,87,81
0,49,65
15,10,30
97,72,6
93,25,43
32,98,43
68,33,99
8,61,7
37,14,88
71,64,41
84,62,97
38,13,4
61,60,45
95,28,17
55,92,53
57,37,51
95,50,68
81,98,79
27,50,66
74,11,61
34,47,23
47,75,57
33,10,12
74,17,1
17,29,33
13,85,16
62,1,42
47,30,76
88,48,67
28,57,3
18,67,24
15,97,16
84,67,11
82,80,76
76,13,75
73,68,36
54,22,32
57,1,35
32,10,45
59,40,37
93,44,11
69,39,44
34,29,69
26,61,53
98,44,21
74,52,24
40,53,72
90,6,41
55,50,65
85,36,64
92,88,44
97,20,8
32,44,55
20,29,93
39,57,88
32,44,99
34,66,59
30,89,19
48,12,84
10,1,15
57,69,62
45,12,34
16,67,96
1,2,93
53,19,81
78,70,92
39,27,29
90,46,98
27,32,61
48,53,73
42,97,45
9,14,63
67,74,96
76,45,36
27,22,18
53,96,21
52,83,13
88,78,73
18,46,75
24,38,36
7,50,29
7,16,96
35,7,44
85,62,37
27,42,54
88,76,53
98,79,68
86,5,53
21,81,99
61,33,81
49,79,23
68,77,3
63,68,17
46,7,50
67,30,16
27,97,92
96,62,56
47,30,75
90,68,25
23,66,95
33,40,44
68,41,40
60,11,50
13,44,35
44,93,72
15,65,33
47,91,1
29,58,88
44,48,52
3,41,19
48,55,98
24,90,29
84,6,16
21,23,16
2,32,47
49,79,35
50,90,44
96,12,7
74,52,29
90,40,41
37,64,1
52,19,41
29,4,29
62,55,55
87,4,71
14,61,46
50,93,88
80,69,23
20,55,10
12,46,51
82,56,28
46,57,29
18,10,5
7,59,20
33,65,69
29,7,62
50,69,11
17,47,38
53,81,0
63,19,22
84,66,30
18,68,5
17,11,10
1,4,5
37,16,6
51,75,11
22,96,17
71,68,33
20,57,52
93,62,47
18,19,13
93,88,54
21,30,95
48,67,95
27,92,65
6,54,60
52,17,42
81,37,4
40,90,57
68,29,90
80,69,41
44,73,77
61,12,97
50,2,42
73,18,92
27,71,2
35,11,17
88,55,40
96,20,13
31,88,96
70,97,72
88,56,9
66,39,75
42,36,16
38,78,26
26,4,60
50,49,71
6,94,66
51,61,62
85,3,33
69,55,46
98,24,28
88,51,55
61,88,37
21,91,35
35,75,9
23,98,1
98,4,22
6,5,75
18,26,24
12,46,58
41,28,88
11,28,14
4,95,71
40,45,43
98,84,92
74,86,49
29,70,47
13,13,14
57,50,91
81,19,14
51,34,90
57,98,28
38,86,75
80,91,58
7,68,70
30,39,50
94,48,27
19,26,82
24,56,83
6,23,5
80,16,14
50,55,87
57,97,42
8,91,22
2,32,5
29,7,53
1,25,34
83,63,27
60,24,11
85,91,47
69,17,47
37,90,49
90,83,99
35,7,36
50,24,33
41,1,76
49,64,23
60,19,48
41,53,76
30,40,49
16,13,6
79,63,66
82,65,38
37,21,35
55,12,56
52,20,63
36,70,0
37,36,17
81,94,88
68,96,14
83,63,43
22,75,2
39,32,66
38,0,97
0,3,70
14,76,99
25,47,52
20,43,83
83,27,25
88,12,42
70,59,18
